epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,738.681,0.42868,0.51984,0.98262,0.9568,0.87415,0.96744,0.87904,0.40414,0.44671,0.91027,0.00097775,0.00097775,0.00097775
68,748.729,0.44481,0.56597,0.99052,0.8028,0.82334,0.91753,0.83748,0.42459,0.72815,0.92437,0.000973625,0.000973625,0.000973625
69,759.23,0.44671,0.53762,0.98344,0.92396,0.95507,0.97477,0.90238,0.36478,0.39992,0.88531,0.0009695,0.0009695,0.0009695
70,771.407,0.42833,0.52772,0.96503,0.94876,0.9504,0.98184,0.9247,0.36297,0.40538,0.88104,0.000965375,0.000965375,0.000965375
71,780.932,0.44066,0.53333,0.97846,0.95478,0.90124,0.96877,0.902,0.38421,0.46569,0.90111,0.00096125,0.00096125,0.00096125
72,792.012,0.42858,0.52182,0.96454,0.90373,0.89743,0.95528,0.89035,0.39209,0.50672,0.89317,0.000957125,0.000957125,0.000957125
73,803.544,0.44064,0.527,0.97624,0.95459,0.91302,0.95161,0.89271,0.36542,0.45702,0.88248,0.000953,0.000953,0.000953
74,812.744,0.42133,0.48188,0.96331,0.93963,0.94163,0.96121,0.90363,0.3829,0.45879,0.89134,0.000948875,0.000948875,0.000948875
75,824.343,0.41121,0.47148,0.97807,0.97861,0.95556,0.9837,0.91773,0.38934,0.39393,0.88908,0.00094475,0.00094475,0.00094475
76,835.998,0.41883,0.47817,0.96578,0.9345,0.94397,0.96007,0.90739,0.34857,0.48113,0.86347,0.000940625,0.000940625,0.000940625
77,845.172,0.42713,0.50332,0.97189,0.9606,0.95408,0.98878,0.92906,0.35898,0.3564,0.87112,0.0009365,0.0009365,0.0009365
78,857.156,0.42506,0.48004,0.96136,0.94929,0.9047,0.97936,0.9084,0.38123,0.4077,0.88317,0.000932375,0.000932375,0.000932375
79,868.145,0.4256,0.43782,0.97085,0.94643,0.94428,0.98326,0.92469,0.36108,0.38775,0.88847,0.00092825,0.00092825,0.00092825
80,877.746,0.43833,0.52811,0.99323,0.9453,0.93851,0.98252,0.91668,0.35831,0.37945,0.88827,0.000924125,0.000924125,0.000924125
81,889.853,0.42009,0.50875,0.96205,0.93741,0.93028,0.97915,0.91967,0.35566,0.40867,0.88259,0.00092,0.00092,0.00092
82,899.743,0.43208,0.4755,0.98157,0.94663,0.94397,0.98412,0.92861,0.34974,0.35114,0.87858,0.000915875,0.000915875,0.000915875
83,910.668,0.40971,0.46104,0.96021,0.96443,0.93724,0.98805,0.93475,0.33828,0.37358,0.86592,0.00091175,0.00091175,0.00091175
84,922.97,0.39039,0.47194,0.96566,0.94508,0.95626,0.98041,0.92139,0.36235,0.40228,0.88282,0.000907625,0.000907625,0.000907625
85,932.179,0.3988,0.43735,0.96564,0.93588,0.91059,0.97236,0.90985,0.34129,0.4209,0.87155,0.0009035,0.0009035,0.0009035
86,943.474,0.4154,0.47933,0.9805,0.9436,0.91864,0.97074,0.90968,0.34624,0.38817,0.87166,0.000899375,0.000899375,0.000899375
87,955.627,0.42276,0.45287,0.97557,0.9242,0.94796,0.97456,0.91263,0.3694,0.39859,0.87782,0.00089525,0.00089525,0.00089525
88,964.922,0.4187,0.46211,0.97132,0.95237,0.96282,0.99025,0.92907,0.34665,0.35383,0.86487,0.000891125,0.000891125,0.000891125
89,976.85,0.41993,0.46654,0.96568,0.92479,0.93783,0.98077,0.92123,0.35182,0.40972,0.87378,0.000887,0.000887,0.000887
